bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Productivity","/explore/productivity","/projects/bitmin-bitcoin-cloud-miner-for-lifetime","2015-11-24T23:59:59-08:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kmdsgmmnfpm502oqzamb.jpg","false","false","null","2015-09-25T22:05:05-07:00","null","null","null","null","null","1409568","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Run your lifetime Bitcoin miner in cloud at 0 cost.","[""other""]","BITMIN - Bitcoin cloud miner for lifetime"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/tactical-bunny-keychain","2016-06-09T23:59:59-07:00","USD","22","0.044","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ddpck9mkbb80yougjwk1.jpg","false","false","null","2016-04-10T19:02:38-07:00","null","null","null","null","null","1715488","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The cutest tactical keychain to bring anywhere AT THE BEST PRICE EVER!!!","[""other""]","Tactical Bunny Keychain"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/lejon-watch-heritage-reborn--3","2015-11-25T23:59:59-08:00","USD","1782","0.0891","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/av651vctw9p5rrot285k.jpg","false","false","null","2015-10-26T01:57:05-07:00","null","null","null","null","null","1506415","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Elegant watches from Switzerland for ladies & gents. Match with your style by exchanging the straps.","[""watches"",""watches""]","LEJON Watch - Heritage Reborn"
"null","Transportation","/explore/transportation","/projects/hudway-drive-the-best-head-up-display-for-any-car--2","2019-05-10T23:59:59-07:00","USD","175228","2.26104","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/yxqleyyoowyxx9my2bcx.jpg","true","false","null","2019-03-26T00:00:00-07:00","null","null","null","null","prototype","2444509","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Head-up display (HUD) for everyday commute to stay focused and connected while driving","[""cars"",""safety"",""men"",""gps"",""projectors""]","HUDWAY Drive: The best head-up display for any car"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/st-monday-the-world-s-best-handkerchiefs","2019-12-31T23:59:59-08:00","USD","2430","0.243","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lp8e2y3albwxczgrwjim.jpg","false","false","null","2019-11-28T00:00:00-08:00","null","null","null","null","null","2558211","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Ultimate Japanese Quick Drying Hybrid Cotton Meets Hand Finished New Orleans Art.","[""design"",""men"",""women"",""websites"",""beauty""]","St. Monday: The World's Best Handkerchiefs"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/share-bus-a-new-way-to-travel-australia-by-4x4","2020-03-26T23:59:59-07:00","AUD","936","0.0624","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uiso23lzqhth5zop8xvs.jpg","false","false","null","2020-02-10T00:00:00-08:00","null","null","null","null","null","2577317","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Share Bus: A new way to travel Australia by 4x4","[""female founders"",""camping"",""adventure""]","Share Bus: A new way to travel Australia by 4x4"
"null","Productivity","/explore/productivity","/projects/wisedog-2017-calendar","2017-01-07T23:59:59-08:00","EUR","773","1.063333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tsyygczrxubi14urm8xj.jpg","false","false","null","2016-12-28T03:38:43-08:00","null","null","null","null","concept","1990260","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","It's about a calendar for the year 2017. BW design at daylight, glows in the dark during night.","[""other""]","Wisedog 2017 Calendar"
"null","Food & Beverages","/explore/food-beverages","/projects/willard-s-ice-cream","2017-08-11T23:59:59-07:00","CAD","4410","0.441","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hmqpdmvnlmmnmkucryzu.jpg","false","false","null","2017-07-07T19:51:55-07:00","null","null","null","null","null","2148373","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Sometime's it's okay to eat your feelings.","[""other""]","Willard's Ice Cream"
"null","Comics","/explore/comics","/projects/monster-matador-tango-of-the-matadors-1","2020-07-09T23:59:59-07:00","USD","3825","1.905","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/k7kgptiuzojlnkzj9utw.jpg","true","false","null","2020-07-08T23:59:59-07:00","null","null","null","null","null","2610162","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A post-apocalyptic tale of a Matador fighting monsters to make a better future for his daughter.","[""adventure"",""books""]","MONSTER MATADOR: TANGO OF THE MATADORS #1"
"null","Food & Beverages","/explore/food-beverages","/projects/vegan-jerky-by-fawesome-foods","2019-01-16T23:59:59-08:00","USD","6325","0.6325","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/oixjwa05qmtp1xgwbkdt.jpg","false","false","null","2018-11-17T00:00:00-08:00","null","null","null","null","null","2432948","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Striving to help people and animals live better lives by producing plant-based protein-rich foods.","[""vegan"",""food""]","Vegan Jerky by Fawesome Foods"
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/little-f-cking-wizards","2018-10-11T23:59:59-07:00","CAD","767","0.767","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/us9nl0yjqxpeliaeboy9.jpg","false","false","null","2018-08-12T21:22:23-07:00","null","null","null","null","null","2407891","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Silence is golden, unless it's these two, then silence is very suspicious","[""animation"",""comedy"",""adventure""]","Little F*cking Wizards"
"null","Dance & Theater","/explore/dance-theater","/projects/harry-and-the-thief-at-the-strand-theater--2","2016-03-29T23:59:59-07:00","USD","1808","0.7232","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/djsiw01dsvyeuuceri5w.jpg","false","false","null","2016-03-08T18:21:57-08:00","null","null","null","null","null","1671413","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help the Strand produce ""Harry and the Thief"" - a play about Harriet Tubman, time travel, and guns!","[""other""]","Harry and the Thief at the Strand Theater !"
"null","Food & Beverages","/explore/food-beverages","/projects/olivery-olive-oil-made-easy","2018-09-25T23:59:59-07:00","EUR","41423","1.155171428571","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pu1gbdfuhkf5y3pylmeh.jpg","true","false","null","2018-09-24T23:59:59-07:00","null","null","null","null","concept","2422597","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We bottle the best Italian olive oil and deliver it to you whenever you need it.","[""smart home"",""food"",""kitchen"",""bottles"",""vegan""]","oLivery - olive oil made easy"
"null","Music","/explore/music","/projects/mais-fado-mais-bicha--3","2019-12-24T23:59:59-08:00","EUR","11487","0.45948","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wfbwfiy0wjdsipbojksh.jpg","false","false","null","2019-10-25T00:00:00-07:00","null","null","null","null","null","2554869","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Apoia-nos na gravação do primeiro álbum Fado Bicha / Support us recording Fado Bicha’s first album","[""music video"",""band"",""lgbtq"",""recording"",""community""]","MAIS FADO, MAIS BICHA"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/spinciti-performance-road-e-bike-supercharged","2020-01-18T23:59:59-08:00","USD","764590","11.20142","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xkjhczxkvkumsxivteap.jpg","true","false","null","2019-11-19T00:00:00-08:00","null","null","null","null","shipping","2547309","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Next-Gen Commuter E-Bike. Scary Fast High-Performance, Lightweight, 50 Miles Range.","[""e-bikes"",""motorcycles""]","Spinciti: Performance Road E-Bike - Supercharged."
"null","Wellness","/explore/wellness","/projects/we-don-t-want-to-move-out","2013-03-14T23:59:59-07:00","USD","20","0.002","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ju6b06oubv2ik4qngqv3.jpg","false","false","null","2013-01-13T21:41:28-08:00","null","null","null","null","null","313787","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","My wife and are are renting, but the property is for sale. If we don't buy this house, someone can buy it and move in, leaving us homeless...","[""other""]","We don't want to move out!"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/a-f-a-wakepark-1er-teleski-nautique-d-alsace","2015-05-31T23:59:59-07:00","EUR","845","0.281666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uk6b5zlbxrebgehmh7ni.jpg","false","false","null","2015-05-01T00:16:41-07:00","null","null","null","null","null","1228159","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Aidez-nous à faire un bond!","[""other""]","A.F.A Wakepark, 1er téléski nautique d'Alsace"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/harlow-jewelry-co","2015-04-17T23:59:59-07:00","USD","925","0.23125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/y32a8ovmwgvgbiardgrz.jpg","false","false","null","2015-03-18T11:45:58-07:00","null","null","null","null","null","1185595","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Unique jewelry for unique people.","[""other""]","Harlow Jewelry Co."
"null","Human Rights","/explore/human-rights","/projects/help-humanity-today-refugees-in-belgium","2015-09-14T23:59:59-07:00","USD","5718","2.759","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/r7pyef4xbqmm7great9b.jpg","false","false","null","2015-09-04T16:06:46-07:00","null","null","null","null","null","1423004","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","In Belgium, there are refugees that are hungry, cold, and homeless- Please Help! #HelpHumanityToday","[""other""]","Help Humanity Today - Refugees in Belgium"
"null","Writing & Publishing","/explore/writing-publishing","/projects/pre-order-and-publish-when-color-came","2016-07-24T23:59:59-07:00","USD","175","0.175","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kliujiey9qr4mrlfctsn.jpg","false","false","null","2016-06-09T04:58:04-07:00","null","null","null","null","null","1774678","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Preorder your copy of this amazing children's book while also helping it get published!","[""books""]","Pre-Order and Publish ''When Color Came'' !"
